SST(K),DATE,SST(degC),CW(degC),DelT
301.692147944547,13/09/1999,28.692147944547,9,19.692147944547
301.744394336333,14/09/1999,28.744394336333,9,19.744394336333
301.789804079057,15/09/1999,28.789804079057,9,19.789804079057
301.818589969849,16/09/1999,28.818589969849,9,19.818589969849
301.829312714169,17/09/1999,28.829312714169,9,19.829312714169
301.822044276744,18/09/1999,28.822044276744,9,19.822044276744
301.800310929196,19/09/1999,28.800310929196,9,19.800310929196
301.764616424615,20/09/1999,28.764616424615,9,19.764616424615
301.724819930595,21/09/1999,28.724819930595,9,19.724819930595
301.693587239086,22/09/1999,28.693587239086,9,19.693587239086
301.674300692256,23/09/1999,28.674300692256,9,19.674300692256
301.671134244269,24/09/1999,28.671134244269,9,19.671134244269
301.691428297277,25/09/1999,28.691428297277,9,19.691428297277
301.740508241077,26/09/1999,28.740508241077,9,19.740508241077
301.813264580052,27/09/1999,28.813264580052,9,19.813264580052
301.889403261196,28/09/1999,28.889403261196,9,19.889403261196
301.950429349675,29/09/1999,28.950429349675,9,19.950429349675
301.976552545568,30/09/1999,28.976552545568,9,19.976552545568
301.961943705991,01/10/1999,28.961943705991,9,19.961943705991
301.923802400692,02/10/1999,28.923802400692,9,19.923802400692
301.873571021261,03/10/1999,28.873571021261,9,19.873571021261
301.822763924014,04/10/1999,28.822763924014,9,19.822763924014
301.781240276547,05/10/1999,28.781240276547,9,19.781240276547
301.78807692561,06/10/1999,28.78807692561,9,19.78807692561
301.846656213371,07/10/1999,28.846656213371,9,19.846656213371
301.91624610436,08/10/1999,28.91624610436,9,19.91624610436
301.956330457287,09/10/1999,28.956330457287,9,19.956330457287
301.926752954499,10/10/1999,28.926752954499,9,19.926752954499
301.872563515083,11/10/1999,28.872563515083,9,19.872563515083
301.841330823574,12/10/1999,28.841330823574,9,19.841330823574
301.799303423018,13/10/1999,28.799303423018,9,19.799303423018
301.710930738288,14/10/1999,28.710930738288,9,19.710930738288
301.541237912071,15/10/1999,28.541237912071,9,19.541237912071
301.357655893547,16/10/1999,28.357655893547,9,19.357655893547
301.240497318025,17/10/1999,28.240497318025,9,19.240497318025
301.1686765205,18/10/1999,28.1686765205,9,19.1686765205
301.121611589056,19/10/1999,28.121611589056,9,19.121611589056
301.079368294319,20/10/1999,28.079368294319,9,19.079368294319
301.062240689298,21/10/1999,28.062240689298,9,19.062240689298
301.098366982242,22/10/1999,28.098366982242,9,19.098366982242
301.177456217192,23/10/1999,28.177456217192,9,19.177456217192
301.289793156006,24/10/1999,28.289793156006,9,19.289793156006
301.424798983819,25/10/1999,28.424798983819,9,19.424798983819
301.547139019684,26/10/1999,28.547139019684,9,19.547139019684
301.632561150608,27/10/1999,28.632561150608,9,19.632561150608
301.68826184929,28/10/1999,28.68826184929,9,19.68826184929
301.724388142233,29/10/1999,28.724388142233,9,19.724388142233
301.748568290498,30/10/1999,28.748568290498,9,19.748568290498
301.735110886553,31/10/1999,28.735110886553,9,19.735110886553
301.67847464642,01/11/1999,28.67847464642,9,19.67847464642
301.611331556149,02/11/1999,28.611331556149,9,19.611331556149
301.562251612349,03/11/1999,28.562251612349,9,19.562251612349
301.567648966873,04/11/1999,28.567648966873,9,19.567648966873
301.602551859457,05/11/1999,28.602551859457,9,19.602551859457
301.637454752042,06/11/1999,28.637454752042,9,19.637454752042
301.695818145622,07/11/1999,28.695818145622,9,19.695818145622
301.799303423018,08/11/1999,28.799303423018,9,19.799303423018
301.970003755413,09/11/1999,28.970003755413,9,19.970003755413
302.154305421207,10/11/1999,29.154305421207,9,20.154305421207
302.290030896289,11/11/1999,29.290030896289,9,20.290030896289
302.384736476994,12/11/1999,29.384736476994,9,20.384736476994
302.446266318561,13/11/1999,29.446266318561,9,20.446266318561
302.48512727113,14/11/1999,29.48512727113,9,20.48512727113
302.481169211146,15/11/1999,29.481169211146,9,20.481169211146
302.424820829921,16/11/1999,29.424820829921,9,20.424820829921
302.333281697204,17/11/1999,29.333281697204,9,20.333281697204
302.224111206376,18/11/1999,29.224111206376,9,20.224111206376
302.113285526829,19/11/1999,29.113285526829,9,20.113285526829
302.043911530021,20/11/1999,29.043911530021,9,20.043911530021
302.029806443533,21/11/1999,29.029806443533,9,20.029806443533
302.046142436557,22/11/1999,29.046142436557,9,20.046142436557
302.06370182994,23/11/1999,29.06370182994,9,20.06370182994
302.057584828147,24/11/1999,29.057584828147,9,20.057584828147
302.053986591798,25/11/1999,29.053986591798,9,20.053986591798
302.074928327349,26/11/1999,29.074928327349,9,20.074928327349
302.090328778922,27/11/1999,29.090328778922,9,20.090328778922
302.075216186257,28/11/1999,29.075216186257,9,20.075216186257
301.998789646205,29/11/1999,28.998789646205,9,19.998789646205
301.880335705597,30/11/1999,28.880335705597,9,19.880335705597
301.76735108424,01/12/1999,28.76735108424,9,19.76735108424
301.666960290104,02/12/1999,28.666960290104,9,19.666960290104
301.592045009319,03/12/1999,28.592045009319,9,19.592045009319
301.551528868029,04/12/1999,28.551528868029,9,19.551528868029
301.576932416653,05/12/1999,28.576932416653,9,19.576932416653
301.665017242475,06/12/1999,28.665017242475,9,19.665017242475
301.772460579855,07/12/1999,28.772460579855,9,19.772460579855
301.855220015881,08/12/1999,28.855220015881,9,19.855220015881
301.871843867813,09/12/1999,28.871843867813,9,19.871843867813
301.790523726327,10/12/1999,28.790523726327,9,19.790523726327
301.643787648017,11/12/1999,28.643787648017,9,19.643787648017
301.488055978834,12/12/1999,28.488055978834,9,19.488055978834
301.37521528693,13/12/1999,28.37521528693,9,19.37521528693
301.359598941176,14/12/1999,28.359598941176,9,19.359598941176
301.45192968589,15/12/1999,28.45192968589,9,19.45192968589
301.599097552562,16/12/1999,28.599097552562,9,19.599097552562
301.764904283522,17/12/1999,28.764904283522,9,19.764904283522
301.913079656373,18/12/1999,28.913079656373,9,19.913079656373
302.007785237077,19/12/1999,29.007785237077,9,20.007785237077
301.989290302243,20/12/1999,28.989290302243,9,19.989290302243
301.862776312214,21/12/1999,28.862776312214,9,19.862776312214
301.695530286715,22/12/1999,28.695530286715,9,19.695530286715
301.552752268388,23/12/1999,28.552752268388,9,19.552752268388
301.50100962969,24/12/1999,28.50100962969,9,19.50100962969
301.549801714582,25/12/1999,28.549801714582,9,19.549801714582
301.647241954912,26/12/1999,28.647241954912,9,19.647241954912
301.76735108424,27/12/1999,28.76735108424,9,19.76735108424
301.883070365222,28/12/1999,28.883070365222,9,19.883070365222
301.968996249235,29/12/1999,28.968996249235,9,19.968996249235
301.975329145209,30/12/1999,28.975329145209,9,19.975329145209
301.901853158964,31/12/1999,28.901853158964,9,19.901853158964
301.792970527044,01/01/2000,28.792970527044,9,19.792970527044
301.691428297277,02/01/2000,28.691428297277,9,19.691428297277
301.647241954912,03/01/2000,28.647241954912,9,19.647241954912
301.649688755629,04/01/2000,28.649688755629,9,19.649688755629
301.671853891538,05/01/2000,28.671853891538,9,19.671853891538
301.711938244466,06/01/2000,28.711938244466,9,19.711938244466
301.765408036611,07/01/2000,28.765408036611,9,19.765408036611
301.828377172718,08/01/2000,28.828377172718,9,19.828377172718
301.877960869607,09/01/2000,28.877960869607,9,19.877960869607
301.895736157171,10/01/2000,28.895736157171,9,19.895736157171
301.887460213568,11/01/2000,28.887460213568,9,19.887460213568
301.862560418033,12/01/2000,28.862560418033,9,19.862560418033
301.829096819988,13/01/2000,28.829096819988,9,19.829096819988
301.795417327762,14/01/2000,28.795417327762,9,19.795417327762
301.758787281729,15/01/2000,28.758787281729,9,19.758787281729
301.717767387351,16/01/2000,28.717767387351,9,19.717767387351
301.668183690462,17/01/2000,28.668183690462,9,19.668183690462
301.608668861251,18/01/2000,28.608668861251,9,19.608668861251
301.561531965079,19/01/2000,28.561531965079,9,19.561531965079
301.541957559341,20/01/2000,28.541957559341,9,19.541957559341
301.535912522275,21/01/2000,28.535912522275,9,19.535912522275
301.528788014304,22/01/2000,28.528788014304,9,19.528788014304
301.505615372217,23/01/2000,28.505615372217,9,19.505615372217
301.492157968271,24/01/2000,28.492157968271,9,19.492157968271
301.506119125305,25/01/2000,28.506119125305,9,19.506119125305
301.519792423431,26/01/2000,28.519792423431,9,19.519792423431
301.508062172934,27/01/2000,28.508062172934,9,19.508062172934
301.444805177919,28/01/2000,28.444805177919,9,19.444805177919
301.369602038226,29/01/2000,28.369602038226,9,19.369602038226
301.32448015441,30/01/2000,28.32448015441,9,19.32448015441
301.283964013121,31/01/2000,28.283964013121,9,19.283964013121
301.222865959915,01/02/2000,28.222865959915,9,19.222865959915
301.118157282161,02/02/2000,28.118157282161,9,19.118157282161
301.02978459743,03/02/2000,28.02978459743,9,19.02978459743
301.009274650241,04/02/2000,28.009274650241,9,19.009274650241
301.014672004765,05/02/2000,28.014672004765,9,19.014672004765
301.003661401537,06/02/2000,28.003661401537,9,19.003661401537
300.936518311265,07/02/2000,27.936518311265,9,18.936518311265
300.839078070936,08/02/2000,27.839078070936,9,18.839078070936
300.76632173196,09/02/2000,27.76632173196,9,18.76632173196
300.725373802309,10/02/2000,27.725373802309,9,18.725373802309
300.718968941607,11/02/2000,27.718968941607,9,18.718968941607
300.753655940011,12/02/2000,27.753655940011,9,18.753655940011
300.825692631717,13/02/2000,27.825692631717,9,18.825692631717
300.923852519317,14/02/2000,27.923852519317,9,18.923852519317
301.037340893763,15/02/2000,28.037340893763,9,19.037340893763
301.15867342345,16/02/2000,28.15867342345,9,19.15867342345
301.278062905508,17/02/2000,28.278062905508,9,19.278062905508
301.360822341534,18/02/2000,28.360822341534,9,19.360822341534
301.390399844323,19/02/2000,28.390399844323,9,19.390399844323
301.387233396336,20/02/2000,28.387233396336,9,19.387233396336
301.370825438585,21/02/2000,28.370825438585,9,19.370825438585
301.360606447354,22/02/2000,28.360606447354,9,19.360606447354
301.373056345121,23/02/2000,28.373056345121,9,19.373056345121
301.399179541014,24/02/2000,28.399179541014,9,19.399179541014
301.427245784536,25/02/2000,28.427245784536,9,19.427245784536
301.448475378995,26/02/2000,28.448475378995,9,19.448475378995
301.451641826982,27/02/2000,28.451641826982,9,19.451641826982
301.433866539418,28/02/2000,28.433866539418,9,19.433866539418
301.406951731528,29/02/2000,28.406951731528,9,19.406951731528
301.419905382384,01/03/2000,28.419905382384,9,19.419905382384
301.431851527063,02/03/2000,28.431851527063,9,19.431851527063
301.429188832165,03/03/2000,28.429188832165,9,19.429188832165
301.399683294103,04/03/2000,28.399683294103,9,19.399683294103
301.350603350303,05/03/2000,28.350603350303,9,19.350603350303
301.319586552975,06/03/2000,28.319586552975,9,19.319586552975
301.308575949748,07/03/2000,28.308575949748,9,19.308575949748
301.32376050714,08/03/2000,28.32376050714,9,19.32376050714
301.368162743686,09/03/2000,28.368162743686,9,19.368162743686
301.443149989199,10/03/2000,28.443149989199,9,19.443149989199
301.539798617532,11/03/2000,28.539798617532,9,19.539798617532
301.642060494569,12/03/2000,28.642060494569,9,19.642060494569
301.736334286912,13/03/2000,28.736334286912,9,19.736334286912
301.80880276698,14/03/2000,28.80880276698,9,19.80880276698
301.838380269768,15/03/2000,28.838380269768,9,19.838380269768
301.827657525448,16/03/2000,28.827657525448,9,19.827657525448
301.797576269571,17/03/2000,28.797576269571,9,19.797576269571
301.765839824973,18/03/2000,28.765839824973,9,19.765839824973
301.751950632666,19/03/2000,28.751950632666,9,19.751950632666
301.760010682088,20/03/2000,28.760010682088,9,19.760010682088
301.781240276547,21/03/2000,28.781240276547,9,19.781240276547
301.820820876385,22/03/2000,28.820820876385,9,19.820820876385
301.882782506314,23/03/2000,28.882782506314,9,19.882782506314
301.970003755413,24/03/2000,28.970003755413,9,19.970003755413
302.054202485979,25/03/2000,29.054202485979,9,20.054202485979
302.113501421009,26/03/2000,29.113501421009,9,20.113501421009
302.164812271346,27/03/2000,29.164812271346,9,20.164812271346
302.222671911837,28/03/2000,29.222671911837,9,20.222671911837
302.305647242044,29/03/2000,29.305647242044,9,20.305647242044
302.367177083611,30/03/2000,29.367177083611,9,20.367177083611
302.380346628648,31/03/2000,29.380346628648,9,20.380346628648
302.381354134826,01/04/2000,29.381354134826,9,20.381354134826
302.409636272529,02/04/2000,29.409636272529,9,20.409636272529
302.502902558694,03/04/2000,29.502902558694,9,20.502902558694
302.622076146571,04/04/2000,29.622076146571,9,20.622076146571
302.709945078213,05/04/2000,29.709945078213,9,20.709945078213
302.789034313163,06/04/2000,29.789034313163,9,20.789034313163
302.874240549906,07/04/2000,29.874240549906,9,20.874240549906
302.985354088362,08/04/2000,29.985354088362,9,20.985354088362
303.082794328692,09/04/2000,30.082794328692,9,21.082794328692
303.130147119044,10/04/2000,30.130147119044,9,21.130147119044
303.144252205532,11/04/2000,30.144252205532,9,21.144252205532
303.140869863364,12/04/2000,30.140869863364,9,21.140869863364
303.135976261929,13/04/2000,30.135976261929,9,21.135976261929
303.141877369542,14/04/2000,30.141877369542,9,21.141877369542
303.154759055671,15/04/2000,30.154759055671,9,21.154759055671
303.161595704734,16/04/2000,30.161595704734,9,21.161595704734
303.151088854595,17/04/2000,30.151088854595,9,21.151088854595
303.110572713306,18/04/2000,30.110572713306,9,21.110572713306
303.061492769506,19/04/2000,30.061492769506,9,21.061492769506
303.03709672706,20/04/2000,30.03709672706,9,21.03709672706
303.02709363001,21/04/2000,30.02709363001,9,21.02709363001
303.024646829293,22/04/2000,30.024646829293,9,21.024646829293
303.020760734036,23/04/2000,30.020760734036,9,21.020760734036
303.040047280866,24/04/2000,30.040047280866,9,21.040047280866
303.091574025383,25/04/2000,30.091574025383,9,21.091574025383
303.151088854595,26/04/2000,30.151088854595,9,21.151088854595
303.192396607881,27/04/2000,30.192396607881,9,21.192396607881
303.190669454434,28/04/2000,30.190669454434,9,21.190669454434
303.15454316149,29/04/2000,30.15454316149,9,21.15454316149
303.111076466395,30/04/2000,30.111076466395,9,21.111076466395
303.064947076401,01/05/2000,30.064947076401,9,21.064947076401
303.020760734036,02/05/2000,30.020760734036,9,21.020760734036
302.981683887286,03/05/2000,29.981683887286,9,20.981683887286
302.946061347431,04/05/2000,29.946061347431,9,20.946061347431
302.922384952255,05/05/2000,29.922384952255,9,20.922384952255
302.928717848229,06/05/2000,29.928717848229,9,20.928717848229
302.984130688003,07/05/2000,29.984130688003,9,20.984130688003
303.10690251223,08/05/2000,30.10690251223,9,21.10690251223
303.264649193768,09/05/2000,30.264649193768,9,21.264649193768
303.406275776463,10/05/2000,30.406275776463,9,21.406275776463
303.519548256728,11/05/2000,30.519548256728,9,21.519548256728
303.594247643333,12/05/2000,30.594247643333,9,21.594247643333
303.618427791598,13/05/2000,30.618427791598,9,21.618427791598
303.565461752541,14/05/2000,30.565461752541,9,21.565461752541
