Timestamp,SST(K),CW(K),DelT
29-7-2013 4:30 AM,300.972176190842,282,18.9721761908421
29-7-2013 10:30 AM,300.972176190842,282,18.9721761908421
29-7-2013 4:30 PM,300.972176190842,282,18.9721761908421
29-7-2013 10:30 PM,300.972176190842,282,18.9721761908421
30-7-2013 4:30 AM,300.838604974665,282,18.8386049746645
30-7-2013 10:30 AM,300.838604974665,282,18.8386049746645
30-7-2013 4:30 PM,300.838604974665,282,18.8386049746645
30-7-2013 10:30 PM,300.838604974665,282,18.8386049746645
31-7-2013 4:30 AM,300.844002172719,282,18.8440021727185
31-7-2013 10:30 AM,300.844002172719,282,18.8440021727185
31-7-2013 4:30 PM,300.844002172719,282,18.8440021727185
31-7-2013 10:30 PM,300.844002172719,282,18.8440021727185
1-7-2014 4:30 AM,302.139405190986,282,20.1394051909856
1-7-2014 10:30 AM,302.139405190986,282,20.1394051909856
1-7-2014 4:30 PM,302.139405190986,282,20.1394051909856
1-7-2014 10:30 PM,302.139405190986,282,20.1394051909856
2-7-2014 4:30 AM,302.186772208873,282,20.1867722088728
2-7-2014 10:30 AM,302.186772208873,282,20.1867722088728
2-7-2014 4:30 PM,302.186772208873,282,20.1867722088728
2-7-2014 10:30 PM,302.186772208873,282,20.1867722088728
3-7-2014 4:30 AM,302.306152191006,282,20.3061521910061
3-7-2014 10:30 AM,302.306152191006,282,20.3061521910061
3-7-2014 4:30 PM,302.306152191006,282,20.3061521910061
3-7-2014 10:30 PM,302.306152191006,282,20.3061521910061
4-7-2014 4:30 AM,302.031498972548,282,20.0314989725477
4-7-2014 10:30 AM,302.031498972548,282,20.0314989725477
4-7-2014 4:30 PM,302.031498972548,282,20.0314989725477
4-7-2014 10:30 PM,302.031498972548,282,20.0314989725477
5-7-2014 4:30 AM,301.894530918434,282,19.894530918434
5-7-2014 10:30 AM,301.894530918434,282,19.894530918434
5-7-2014 4:30 PM,301.894530918434,282,19.894530918434
5-7-2014 10:30 PM,301.894530918434,282,19.894530918434
6-7-2014 4:30 AM,301.936764936773,282,19.9367649367733
6-7-2014 10:30 AM,301.936764936773,282,19.9367649367733
6-7-2014 4:30 PM,301.936764936773,282,19.9367649367733
6-7-2014 10:30 PM,301.936764936773,282,19.9367649367733
7-7-2014 4:30 AM,301.527596936044,282,19.527596936044
7-7-2014 10:30 AM,301.527596936044,282,19.527596936044
7-7-2014 4:30 PM,301.527596936044,282,19.527596936044
7-7-2014 10:30 PM,301.527596936044,282,19.527596936044
8-7-2014 4:30 AM,301.456301082029,282,19.4563010820288
8-7-2014 10:30 AM,301.456301082029,282,19.4563010820288
8-7-2014 4:30 PM,301.456301082029,282,19.4563010820288
8-7-2014 10:30 PM,301.456301082029,282,19.4563010820288
9-7-2014 4:30 AM,301.366700045802,282,19.3667000458023
9-7-2014 10:30 AM,301.366700045802,282,19.3667000458023
9-7-2014 4:30 PM,301.366700045802,282,19.3667000458023
9-7-2014 10:30 PM,301.366700045802,282,19.3667000458023
10-7-2014 4:30 AM,301.508310445095,282,19.5083104450954
10-7-2014 10:30 AM,301.508310445095,282,19.5083104450954
10-7-2014 4:30 PM,301.508310445095,282,19.5083104450954
10-7-2014 10:30 PM,301.508310445095,282,19.5083104450954
11-7-2014 4:30 AM,301.596930172585,282,19.5969301725848
11-7-2014 10:30 AM,301.596930172585,282,19.5969301725848
11-7-2014 4:30 PM,301.596930172585,282,19.5969301725848
11-7-2014 10:30 PM,301.596930172585,282,19.5969301725848
12-7-2014 4:30 AM,301.357188899581,282,19.3571888995812
12-7-2014 10:30 AM,301.357188899581,282,19.3571888995812
12-7-2014 4:30 PM,301.357188899581,282,19.3571888995812
12-7-2014 10:30 PM,301.357188899581,282,19.3571888995812
13-7-2014 4:30 AM,301.439467862923,282,19.4394678629231
13-7-2014 10:30 AM,301.439467862923,282,19.4394678629231
13-7-2014 4:30 PM,301.439467862923,282,19.4394678629231
13-7-2014 10:30 PM,301.439467862923,282,19.4394678629231
14-7-2014 4:30 AM,301.537372280771,282,19.5373722807713
14-7-2014 10:30 AM,301.537372280771,282,19.5373722807713
14-7-2014 4:30 PM,301.537372280771,282,19.5373722807713
14-7-2014 10:30 PM,301.537372280771,282,19.5373722807713
15-7-2014 4:30 AM,301.298083919492,282,19.2980839194924
15-7-2014 10:30 AM,301.298083919492,282,19.2980839194924
15-7-2014 4:30 PM,301.298083919492,282,19.2980839194924
15-7-2014 10:30 PM,301.298083919492,282,19.2980839194924
16-7-2014 4:30 AM,301.088121592395,282,19.0881215923955
16-7-2014 10:30 AM,301.088121592395,282,19.0881215923955
16-7-2014 4:30 PM,301.088121592395,282,19.0881215923955
16-7-2014 10:30 PM,301.088121592395,282,19.0881215923955
17-7-2014 4:30 AM,301.26147355507,282,19.2614735550696
17-7-2014 10:30 AM,301.26147355507,282,19.2614735550696
17-7-2014 4:30 PM,301.26147355507,282,19.2614735550696
17-7-2014 10:30 PM,301.26147355507,282,19.2614735550696
18-7-2014 4:30 AM,301.694079737558,282,19.6940797375583
18-7-2014 10:30 AM,301.694079737558,282,19.6940797375583
18-7-2014 4:30 PM,301.694079737558,282,19.6940797375583
18-7-2014 10:30 PM,301.694079737558,282,19.6940797375583
19-7-2014 4:30 AM,301.467510647218,282,19.4675106472181
19-7-2014 10:30 AM,301.467510647218,282,19.4675106472181
19-7-2014 4:30 PM,301.467510647218,282,19.4675106472181
19-7-2014 10:30 PM,301.467510647218,282,19.4675106472181
20-7-2014 4:30 AM,301.136243463157,282,19.1362434631574
20-7-2014 10:30 AM,301.136243463157,282,19.1362434631574
20-7-2014 4:30 PM,301.136243463157,282,19.1362434631574
20-7-2014 10:30 PM,301.136243463157,282,19.1362434631574
21-7-2014 4:30 AM,301.039811008415,282,19.0398110084149
21-7-2014 10:30 AM,301.039811008415,282,19.0398110084149
21-7-2014 4:30 PM,301.039811008415,282,19.0398110084149
21-7-2014 10:30 PM,301.039811008415,282,19.0398110084149
22-7-2014 4:30 AM,301.02026031896,282,19.0202603189603
22-7-2014 10:30 AM,301.02026031896,282,19.0202603189603
22-7-2014 4:30 PM,301.02026031896,282,19.0202603189603
22-7-2014 10:30 PM,301.02026031896,282,19.0202603189603
23-7-2014 4:30 AM,301.139413845231,282,19.1394138452312
23-7-2014 10:30 AM,301.139413845231,282,19.1394138452312
23-7-2014 4:30 PM,301.139413845231,282,19.1394138452312
23-7-2014 10:30 PM,301.139413845231,282,19.1394138452312
24-7-2014 4:30 AM,301.258529628858,282,19.2585296288583
24-7-2014 10:30 AM,301.258529628858,282,19.2585296288583
24-7-2014 4:30 PM,301.258529628858,282,19.2585296288583
24-7-2014 10:30 PM,301.258529628858,282,19.2585296288583
25-7-2014 4:30 AM,301.103029936671,282,19.1030299366707
25-7-2014 10:30 AM,301.103029936671,282,19.1030299366707
25-7-2014 4:30 PM,301.103029936671,282,19.1030299366707
25-7-2014 10:30 PM,301.103029936671,282,19.1030299366707
26-7-2014 4:30 AM,301.04249073612,282,19.0424907361201
26-7-2014 10:30 AM,301.04249073612,282,19.0424907361201
26-7-2014 4:30 PM,301.04249073612,282,19.0424907361201
26-7-2014 10:30 PM,301.04249073612,282,19.0424907361201
27-7-2014 4:30 AM,301.532239281223,282,19.5322392812233
27-7-2014 10:30 AM,301.532239281223,282,19.5322392812233
27-7-2014 4:30 PM,301.532239281223,282,19.5322392812233
27-7-2014 10:30 PM,301.532239281223,282,19.5322392812233
28-7-2014 4:30 AM,301.245621644701,282,19.245621644701
28-7-2014 10:30 AM,301.245621644701,282,19.245621644701
28-7-2014 4:30 PM,301.245621644701,282,19.245621644701
28-7-2014 10:30 PM,301.245621644701,282,19.245621644701
29-7-2014 4:30 AM,301.51563251798,282,19.51563251798
29-7-2014 10:30 AM,301.51563251798,282,19.51563251798
