DATE,SST(K),SST(degC),CW(degC),DelT
8/18/2019,301.431867833405,28.431867833405,9,19.431867833405
8/19/2019,301.531104513303,28.531104513303,9,19.531104513303
8/20/2019,301.391834854583,28.391834854583,9,19.391834854583
8/21/2019,301.435250902038,28.435250902038,9,19.435250902038
8/22/2019,301.413824800696,28.413824800696,9,19.413824800696
8/23/2019,301.473592346544,28.473592346544,9,19.473592346544
8/24/2019,301.464006985417,28.464006985417,9,19.464006985417
8/25/2019,301.415516335013,28.415516335013,9,19.415516335013
8/26/2019,301.325865016241,28.325865016241,9,19.325865016241
8/27/2019,301.255948264495,28.255948264495,9,19.255948264495
8/28/2019,301.305566604444,28.305566604444,9,19.305566604444
8/29/2019,301.14430699961,28.14430699961,9,19.14430699961
8/30/2019,301.434123212494,28.434123212494,9,19.434123212494
8/31/2019,301.798366935301,28.798366935301,9,19.798366935301
9/1/2019,301.571701336898,28.571701336898,9,19.571701336898
9/2/2019,301.448783176569,28.448783176569,9,19.448783176569
9/3/2019,301.314588120798,28.314588120798,9,19.314588120798
9/4/2019,301.174754617306,28.174754617306,9,19.174754617306
9/5/2019,301.368717218925,28.368717218925,9,19.368717218925
9/6/2019,301.262714401761,28.262714401761,9,19.262714401761
9/7/2019,301.213659906584,28.213659906584,9,19.213659906584
9/8/2019,301.438633970671,28.438633970671,9,19.438633970671
9/9/2019,301.243543679508,28.243543679508,9,19.243543679508
9/10/2019,301.345035738494,28.345035738494,9,19.345035738494
9/11/2019,301.402547905253,28.402547905253,9,19.402547905253
9/12/2019,301.578467474163,28.578467474163,9,19.578467474163
9/13/2019,301.573956715986,28.573956715986,9,19.573956715986
9/14/2019,301.533359892392,28.533359892392,9,19.533359892392
9/15/2019,301.675448774973,28.675448774973,9,19.675448774973
9/16/2019,301.884071340667,28.884071340667,9,19.884071340667
9/17/2019,301.907752821097,28.907752821097,9,19.907752821097
9/18/2019,301.842346827528,28.842346827528,9,19.842346827528
9/19/2019,301.900422839059,28.900422839059,9,19.900422839059
9/20/2019,301.908316665869,28.908316665869,9,19.908316665869
9/21/2019,301.983871865337,28.983871865337,9,19.983871865337
9/22/2019,302.114120007703,29.114120007703,9,20.114120007703
9/23/2019,302.419723874207,29.419723874207,9,20.419723874207
9/24/2019,302.326689486803,29.326689486803,9,20.326689486803
9/25/2019,301.980488796704,28.980488796704,9,19.980488796704
9/26/2019,301.865464463186,28.865464463186,9,19.865464463186
9/27/2019,302.060554754349,29.060554754349,9,20.060554754349
9/28/2019,302.220686669639,29.220686669639,9,20.220686669639
9/29/2019,302.540950500219,29.540950500219,9,20.540950500219
9/30/2019,302.216739756234,29.216739756234,9,20.216739756234
10/1/2019,302.128779971779,29.128779971779,9,20.128779971779
10/2/2019,302.472725282789,29.472725282789,9,20.472725282789
10/3/2019,302.476672196194,29.476672196194,9,20.476672196194
10/4/2019,302.414649271258,29.414649271258,9,20.414649271258
10/5/2019,302.568578894054,29.568578894054,9,20.568578894054
10/6/2019,302.513885951156,29.513885951156,9,20.513885951156
10/7/2019,302.587185771535,29.587185771535,9,20.587185771535
